WARNING:	%Detailtype "alleydirt_leaves" was not ported from L4D1 to L4D2. It's only used on "nature/blend_alleydirt_leaves", in from Crash Course.
			It's contained in my details.vbsp, packed along the hamemr materials and models.
WARNING:	%Detailtype "urban_overgrown_docks" does not exist in L4D2 or L4D1 and was never released to l4d2.
			I made up my own which is basically just
WARNING:	A map can only use one Material File. Make sure your displacements use textures that use the same material file.
			You can find out which detailtype a material uses by opening it and looking for the %detailtype string.

%detailtype name					|	Material File used					| From
______________________________________________________________________________________
compound_gravelgrass	            |	detail/detailsprites				| Counterstrike: Source
desert_2weeds1shrub_01	            |	detail/detailsprites				| Counterstrike: Source
militia_darkleaves_grass	        |	detail/detailsprites				| Counterstrike: Source
militia_leaves_darkleaves	        |	detail/detailsprites				| Counterstrike: Source
militia_leaves_grass	            |	detail/detailsprites				| Counterstrike: Source
militia_leaves_sand	                |	detail/detailsprites				| Counterstrike: Source
militia_rock_grass	                |	detail/detailsprites				| Counterstrike: Source
militia_sand_grass	                |	detail/detailsprites				| Counterstrike: Source
prodgrasses	                        |	detail/detailsprites				| Counterstrike: Source
rural_cornfield_leaves 				|	detail/ruraldetailsprites           | Left 4 Dead
rural_dirt_leaves 					|	detail/ruraldetailsprites           | Left 4 Dead
rural_dirt_leaves02 				|	detail/ruraldetailsprites           | Left 4 Dead
rural_dirt_leaves02_lowdensity 		|	detail/ruraldetailsprites           | Left 4 Dead
rural_dirt_road 					|	detail/ruraldetailsprites           | Left 4 Dead
rural_dkdirt_grass 					|	detail/ruraldetailsprites           | Left 4 Dead
rural_dkdirt_grass_smalltown 		|	detail/ruraldetailsprites           | Left 4 Dead
rural_dkdirt_grass_trainyard 		|	detail/ruraldetailsprites           | Left 4 Dead
rural_grass_leaves 					|	detail/ruraldetailsprites           | Left 4 Dead
rural_gravel_weeds01 				|	detail/ruraldetailsprites           | Left 4 Dead
rural_trainyarddirt_leaves 			|	detail/ruraldetailsprites           | Left 4 Dead
swamp_ground01 						|	detail/ruraldetailsprites           | Left 4 Dead 2
urban_dirt_leaves02 				|	detail/ruraldetailsprites           | Left 4 Dead
urban_dry_overgrown 				|	detail/detailsprites_overgrown      | Left 4 Dead 2
urban_grass_overgrown 				|	detail/detailsprites_overgrown      | Left 4 Dead 2
urban_grass_overgrown_lowdensity	|	detail/detailsprites_overgrown		| Left 4 Dead 2
urban_overgrown 					|	detail/detailsprites_overgrown      | Left 4 Dead 2
urban_overgrown_lowdensity 			|	detail/detailsprites_overgrown      | Left 4 Dead 2
alleydirt_leaves					|	detail/ruraldetailsprites			| Left 4 Dead. Not ported, Use my VBSP to get it back.
urban_overgrown_docks				|	detail/ruraldetailsprites			| Does not exist in L4D1 or L4D2, so i made my own.

List if all blend materials, showing what %detailtype they use.
Material name						|	%detailtype name					| Material File used
______________________________________________________________________________________
blendswampmudroots01_lowdensity		|	urban_overgrown_lowdensity          |	detail/detailsprites_overgrown
blendswampmudroots01				|	urban_overgrown                     |	detail/detailsprites_overgrown
blendswamprootleaves01_cheap		|	-                                   |
blendswamprootleaves01				|	urban_overgrown                     |	detail/detailsprites_overgrown
blendswamprootleaves01_lowdensity	|	urban_overgrown_lowdensity          |	detail/detailsprites_overgrown
grassdirt_blend						|	-                                   |
ti_nospr_blendrockstone1			|	-                                   |
ti_nospr_blendrockstone2			|	-                                   |
ti_nospr_blendrockstone3			|	-                                   |
ti_nospr_blendrockstone4			|	-                                   |
tiblendrockleaves1                  |	rural_dirt_leaves                   |	detail/ruraldetailsprites
tiblendrockstone1                   |	rural_dirt_leaves                   |	detail/ruraldetailsprites
tiblendrockstone2                   |	rural_dirt_leaves                   |	detail/ruraldetailsprites
tiblendrockstone3                   |	rural_dirt_leaves                   |	detail/ruraldetailsprites
tiblendrockstone4                   |	rural_dirt_leaves                   |	detail/ruraldetailsprites
tiblendwaterrockstone               |                                       |
zblendwetrockurock                  |                                       |
blend_alley_conc_dirt				|	-                                   |
blend_alleydirt_leaves				|	alleydirt_leaves                    |	detail/ruraldetailsprites //selfmade
blend_blacktop_01					|	-                                   |
blend_blacktop_01_cheap				|	-                                   |
blend_blacktop_01_wet				|	-                                   |
blend_blacktop_02					|	-                                   |
blend_blacktop_02wet				|	-                                   |
blend_blacktop_03					|	-                                   |
blend_blacktop_03wet				|	-                                   |
